File Name,Row Number,Row Content
output116.csv,3,"['2.5', ""Bois d'Haine"", '116']"
output116.csv,4,"['3.8', 'La Croyere', '116']"
output116.csv,5,"['5.5', 'La Louvière-Gare Industrielle', '116']"
output116.csv,7,"['6.6', 'La Louvière-Centrum', '116']"
output124.csv,10,"['12.6', 'De Hoek', '124']"
output124.csv,19,"['43.4', 'La Chaussée', '124']"
output125.csv,14,"['17.3', 'La Mallieue', '125']"
output130.csv,16,"['27.5', 'Le Campinaire', '130']"
output130A.csv,4,"['1.8', 'La Villette', '130A']"
output130A.csv,5,"['2.5', 'La Sambre', '130A']"
output130A.csv,17,"['29.3', 'grens België - Frankrijk', '130A']"
output140.csv,6,"['8.5', 'La Roche', '140']"
output140.csv,18,"['33.4', 'La Planche', '140']"
output140.csv,20,"['35.6', 'Charleroi-WestMetro West', '140']"
output161.csv,20,"['29.0', 'Le Buston', '161']"
output162.csv,47,"['146.8', 'grens België - Luxemburg', '162']"
output165.csv,11,"['25.5', 'Les Épioux', '165']"
output165.csv,31,"['5.2', 'grens Frankrijk - Luxemburg', '165']"
output165.csv,32,"['81.4', 'grens België - Luxemburg', '165']"
output166.csv,6,"['10.4', ""Château d'Ardenne"", '166']"
output19.csv,13,"['31.7', 'grens België - Nederland', '19']"
output24.csv,16,"['44.5', 'Gemmenichertunnel 870 m', '24']"
output24.csv,17,"['44.7', 'grens België - Duitsland', '24']"
output24.csv,18,"['0.0', 'Aachen West (tot 1910 Aachen Templerbend)', '24']"
output25.csv,20,"['43.8', 'Antwerpen-Centraal', '25']"
output26.csv,12,"['19.5', 'Linkebeek Halle', '26']"
output27.csv,18,"['43.8', 'Antwerpen-Centraal', '27']"
output27A.csv,3,"['1.2', 'Fort 8', '27A']"
output27A.csv,4,"['3.0', 'Fort 7', '27A']"
output27A.csv,6,"['4.8', 'Fort 6', '27A']"
output27A.csv,8,"['7.1', 'Fort 5', '27A']"
output27A.csv,18,"['36.2', 'Bundel Rhodesië', '27A']"
output28.csv,3,"['1.5', 'Koninklijke Halte', '28']"
output28.csv,6,"['2.8', 'Thurn-en-Taxis voorheen Pannenhuis', '28']"
output28.csv,7,"['4.7', 'Simonis 1 1', '28']"
output37.csv,7,"['9.5', 'La Brouck', '37']"
output37.csv,27,"['47.0', 'grens België - Duitsland', '37']"
output40.csv,12,"['13.4', ""Pont d'Argenteau"", '40']"
output40.csv,15,"['15.9', 'Visé/Wezet voorheen Pont-de-Visé', '40']"
output40.csv,16,"['16.3', 'Visé Bas', '40']"
output40.csv,17,"['17.1', 'grens Luik - Limburg', '40']"
output40.csv,18,"['18.2', 'grens België - Nederland', '40']"
output40.csv,22,"['24.7', 'spanningssluis 3,0 kV/1,5 kV', '40']"
output40.csv,24,"['27.2', 'Maastricht Randwyck', '40']"
output40.csv,25,"['28.3', 'Société Céramique[1] opgebroken in 1985[2]', '40']"
output42.csv,9,"['9.4', 'La Falize', '42']"
output42.csv,15,"['27.4', 'La Gleize', '42']"
output42.csv,26,"['59.8', 'grens België - Luxemburg', '42']"
output43.csv,12,"['15.2', 'La Gombe', '43']"
output50A.csv,19,"['114.3', 'Oostende', '50A']"
output51B.csv,3,"['2.9', 'bundel Ramskapelle', '51B']"
output53.csv,7,"['18.2', 'Koude Haard', '53']"
output59.csv,2,"['0.0', 'Oost Berchem', '59']"
output59.csv,3,"['5.6', 'Antwerpen-Linkeroever vh. Vlaams Hoofd / Antwerpen-West', '59']"
output59.csv,4,"['7.0', 'Antwerpen-Linkeroever (West 1970-1984)', '59']"
output59.csv,5,"['8.4', 'Zwijndrecht (OW4)', '59']"
output59.csv,18,"['28.7', 'Sinaai voorheen Duizend Appels', '59']"
output59.csv,22,"['35.8', 'Dender & Waas', '59']"
output66.csv,2,"['3.2', 'Sint-Michiels 1939-1955', '66']"
output66.csv,9,"['29.7', 'Beveren (Roeselare)', '66']"
output66.csv,18,"['51.0', 'Heule Leiaarde', '66']"
output94.csv,27,"['77.8', 'grens België - Frankrijk', '94']"
output96.csv,28,"['75.5', 'grens België - Frankrijk', '96']"
